NomMunicipio,count,total_reclamacoes,media_reclamacoes,percentual
Ponto dos Volantes,78,79,1.0128205128205128,0.0016250385946666233
Jerônimo Monteiro,78,81,1.0384615384615385,0.0016250385946666233
Muniz Freire,78,83,1.064102564102564,0.0016250385946666233
MORRO REDONDO,78,129,1.6538461538461537,0.0016250385946666233
BOCAINA,78,98,1.2564102564102564,0.0016250385946666233
Buritirana,78,82,1.0512820512820513,0.0016250385946666233
Campestre da Serra,78,83,1.064102564102564,0.0016250385946666233
Joaíma,78,80,1.0256410256410255,0.0016250385946666233
Salgado de São Félix,78,79,1.0128205128205128,0.0016250385946666233
SANTA BRANCA,78,88,1.1282051282051282,0.0016250385946666233
SANTA TEREZINHA DE GOIÁS,78,80,1.0256410256410255,0.0016250385946666233
PARELHAS,78,81,1.0384615384615385,0.0016250385946666233
COLORADO,78,92,1.1794871794871795,0.0016250385946666233
Fartura do Piauí,78,96,1.2307692307692308,0.0016250385946666233
FELIXLÂNDIA,78,80,1.0256410256410255,0.0016250385946666233
Juazeiro do Piauí,78,84,1.0769230769230769,0.0016250385946666233
FEIRA GRANDE,78,82,1.0512820512820513,0.0016250385946666233
Uiraúna,78,84,1.0769230769230769,0.0016250385946666233
São João do Polêsine,78,82,1.0512820512820513,0.0016250385946666233
ALEXANDRIA,78,86,1.1025641025641026,0.0016250385946666233
Narandiba,78,80,1.0256410256410255,0.0016250385946666233
ELÍSIO MEDRADO,77,82,1.0649350649350648,0.0016042047665298716
Lamim,77,79,1.025974025974026,0.0016042047665298716
São Miguel do Tocantins,77,88,1.1428571428571428,0.0016042047665298716
IACIARA,77,90,1.1688311688311688,0.0016042047665298716
TERENOS,77,99,1.2857142857142858,0.0016042047665298716
Machacalis,77,80,1.0389610389610389,0.0016042047665298716
CARMO DO CAJURU,77,84,1.0909090909090908,0.0016042047665298716
Brejo Alegre,77,85,1.103896103896104,0.0016042047665298716
Amaporã,77,78,1.0129870129870129,0.0016042047665298716
Venha-Ver,77,100,1.2987012987012987,0.0016042047665298716
Jardim do Mulato,77,85,1.103896103896104,0.0016042047665298716
WANDERLEY,77,119,1.5454545454545454,0.0016042047665298716
Lajedão,77,79,1.025974025974026,0.0016042047665298716
ITAMONTE,77,80,1.0389610389610389,0.0016042047665298716
Berizal,77,78,1.0129870129870129,0.0016042047665298716
Catuípe,77,78,1.0129870129870129,0.0016042047665298716
São Domingos do Azeitão,77,79,1.025974025974026,0.0016042047665298716
Gavião Peixoto,77,82,1.0649350649350648,0.0016042047665298716
Currais,77,82,1.0649350649350648,0.0016042047665298716
Torre de Pedra,77,82,1.0649350649350648,0.0016042047665298716
Tocantinópolis,77,79,1.025974025974026,0.0016042047665298716
PARIPUEIRA,77,80,1.0389610389610389,0.0016042047665298716
Natalândia,77,79,1.025974025974026,0.0016042047665298716
Itamogi,77,81,1.051948051948052,0.0016042047665298716
CAXAMBU,77,78,1.0129870129870129,0.0016042047665298716
Lago do Junco,77,85,1.103896103896104,0.0016042047665298716
CASA BRANCA,77,80,1.0389610389610389,0.0016042047665298716
JOVIÂNIA,77,86,1.1168831168831168,0.0016042047665298716
CORTÊS,77,112,1.4545454545454546,0.0016042047665298716
PALHANO,77,86,1.1168831168831168,0.0016042047665298716
São Braz do Piauí,77,84,1.0909090909090908,0.0016042047665298716
CANAPI,77,88,1.1428571428571428,0.0016042047665298716
Rio do Prado,77,79,1.025974025974026,0.0016042047665298716
Iacri,77,83,1.077922077922078,0.0016042047665298716
BROTAS,77,80,1.0389610389610389,0.0016042047665298716
